name,points,teamID
FURIA,1976,8297
Vitality,1974,9565
Falcons,1932,11283
PARIVISION,1896,12467
Natus Vincere,1813,4608
Spirit,1810,7020
MOUZ,1802,4494
FaZe,1764,6667
The MongolZ,1747,6248
B8,1708,11241
Aurora,1702,11861
Liquid,1678,5973
Legacy,1659,12468
GamerLegion,1605,9928
G2,1584,5995
3DMAX,1581,4914
Astralis,1581,6665
HEROIC,1575,7175
Ninjas in Pyjamas,1556,4411
paiN,1556,4773
NRG,1548,6673
M80,1539,12376
Passion UA,1535,12426
Gentle Mates,1529,13404
FUT,1527,13286
HOTU,1507,11581
FlyQuest,1486,12774
BC.Game,1485,12878
MIBR,1468,9215
BetBoom,1464,12394
BIG,1443,7532
Imperial,1435,9455
EYEBALLERS,1427,11737
9INE,1393,10278
fnatic,1389,4991
Monte,1365,11811
Sharks,1361,8113
Alliance,1348,12474
K27,1348,12895
Inner Circle,1345,13117
ECSTATIC,1321,11419
Friendly Campers,1306,13547
CYBERSHOKE,1300,12380
SINNERS,1296,10577
BESTIA,1287,12144
ENCE,1287,4869
Lynn Vision,1256,8840
Nuclear TigeRES,1239,13027
Tricked,1238,4602
BIG,1230,7532
magic,1229,13592
Sashi,1222,11712
Gaimin Gladiators,1219,11571
Nemesis,1215,13355
Johnny Speeds,1210,12604
Oramond,1208,13470
Fluxo,1205,11837
OG,1198,10503
RED Canids,1198,7176
Marsborne,1197,13124
KOLESIE,1177,13314
Rare Atom,1173,11514
AM,1166,13237
9z,1165,9996
Virtus.pro,1160,5378
GenOne,1150,11609
Sangal,1144,10333
TYLOO,1134,4863
MOUZ NXT,1133,11176
Nemiga,1127,7969
Morningstar,1125,13602
Voca,1123,13499
illwill,1113,13501
500,1102,12000
BET-M,1096,13619
MIBR fe,1084,10975
The Huns,1084,12510
ex-RUBY,1079,13617
HAVU,1078,7865
Fingers Crossed,1078,13466
Betclic,1077,12916
BIG EQUIPA,1077,11718
ARCRED,1076,10459
Metizport,1071,11641
1win,1069,10621
JiJieHao,1064,10245
ODDIK,1061,11768
9z,1056,9996
Phantom,1054,13173
FAVBET,1051,12818
SPARTA,1050,13214
Fire Flux,1048,12960
ASTRAL,1040,13333
MINLATE,1036,6626
Rave,1013,13414
Nemesis,1005,13355
STATE,1001,13623
Leo,997,11446
Fake do Biru,994,13081
AaB,989,9621
UNiTY,988,12267
SemperFi,981,12901
FORZE Reload,976,12857
ShindeN,975,12959
Acend,966,13518
OlyBet,965,13551
megoshort,963,11018
Rebels,959,12642
Wildcard,950,12257
ALGO,946,13163
Gaimin Gladiators,942,11571
Lazer Cats,938,12087
Ursa,937,13231
FengDa,935,12899
BC.Game,935,12878
los kogutos,933,10854
Nexus,928,7187
Chinggis Warriors,927,12646
Yawara,921,11933
Spirit Academy,921,7900
ex-Zero Tenacity,917,13573
BOSS,913,12534
Bounty Hunters,907,12776
Galorys,905,12677
NOVAQ,904,13178
Omega,903,13479
DEPO,903,12536
Partizan,893,11838
Atrix,891,12533
Keyd Stars,889,6033
WW,888,12967
kONO,885,12858
HEROIC Academy,885,13233
CPH Wolves,884,4548
Eternal Fire,882,11251
WHITEBIRD,879,13583
Bebop,878,13613
Mindfreak,874,11668
Partizan,874,11838
Dusty Roots,874,12548
Keyd Stars,874,6033
NIP Impact,870,11917
Prestige,869,13159
Famalicão,865,13364
Lilmix,860,9735
FURIA fe,857,10976
Eternal Fire,856,11251
Mousquetaires,856,13251
THUNDER dOWNUNDER,855,13486
MASONIC,848,10867
CSDIILIT,846,13340
AMKAL,844,12586
Impulse GW,842,13266
ENCE Academy,841,11790
Rooster,839,9881
Sakura,836,13531
9BOOMPRO,826,13380
BRUTE,817,9139
Ground Zero,814,8536
ALLINNERS,813,12812
Eruption,806,12097
HyperSpirit,803,13012
Change The Game,802,13175
BASEMENT BOYS,797,13181
Pigeons,794,12721
HEROIC,790,7175
VP.Prodigy,790,10864
Bushido Wildcats,788,13281
Let Her Cook,786,12421
BORING PLAYERS,785,12948
KRÜ,782,10900
Last Bullet,770,13433
Oruga,770,13627
QWENTRY,768,13510
AaB,763,9621
FOLHA AMARELA,761,13475
FlyQuest RED,760,12301
Phantom,759,13173
Oxuji,758,13553
Dziuseppe,757,13465
LP,756,13304
Just Swing,756,13053
Betclic,755,12916
Rooster,750,9881
Washington,750,13483
MIBR,746,9215
MANA,744,13310
regain,742,12554
Procyon,740,10997
LAG,737,11955
aimclub,735,6810
Universe,734,13618
OverKnight,726,10901
Vasco,724,13413
Mythic,720,5479
SAW,717,10567
SportsBetExpert,713,13375
Underground,710,12707
The QUBE,703,12825
Players,701,11711
Legion,696,10287
Phoenix,694,12909
Partizan,692,11838
GameHunters,691,12988
ComeBack,690,13506
Nemesis Impact,689,13405
Flame Sharks fe,687,13406
Zomblers,687,12164
Fingers Crossed fe,687,13516
EC BANGA,684,12568
NomadS,682,12900
InControl,679,7720
KHAN,679,11175
Four Magic fe,675,13451
8Sins,670,13024
Peekaboo,670,13393
ALLINNERS,666,12812
Young Ninjas,664,10960
thekillaz fe,661,12912
888aura,658,13383
Akimbo,654,12567
GATERON,654,13102
LITE,651,13542
m1x,650,7376
Curralzinho,647,13417
FACEITPLAYERS,642,13441
Black Mold,642,13143
Aether,638,12908
BIG Academy,636,10254
Ghost,635,7801
japczany,635,13614
Nocturnal,630,13398
hindsight,629,13395
AKA HERO KAJO,627,13142
wwaves,627,13381
ScarX,625,13217
Dusty Roses,619,13412
LAG,619,11955
Underground,617,12707
Lotus fe,616,12702
Money Crew,614,13469
IHC,611,11585
Vantage,611,12455
SINQU,609,13571
777,604,10943
Outfit 49,601,13294
G2 Ares,598,12889
Bad Luck,592,13342
Four Magic,586,13520
Tricked,584,4602
CALAOSCORNOS,584,13556
Fuego,583,13511
GameHunters,582,12988
Prison Breakers,580,13512
Crashers,577,6788
TSG,577,13328
F5,567,13201
Take Flyte,566,11660
Straight2Killin,563,13180
rottweilers,561,13643
Pulse,561,13559
BIG,557,7532
FUT Academy,556,13474
THE,556,12955
Reign Above,553,13425
VRSoholics,553,13485
ex-HEROIC Academy,542,13431
INFINITE,541,10823
Getting Info,540,13106
The Glecs,540,13369
Passion UA,534,12426
Fingers Crossed,534,13466
BBBMBCBS,531,11109
HubaBuba,531,13453
Betclic,529,12916
The Glecs,529,13369
R2,528,13327
Wildcard Academy,528,13127
FURY,527,10299
NuTorious,522,12973
Wanted Goons,521,12971
Square Sausages,519,13434
amateurs,518,13515
Aether,517,12908
CAPIVARAS,515,12463
Players,511,11711
KZG,510,12152
Little Bocks,510,11497
SENZA,508,13352
Animus Victoria,505,13316
IHC,503,11585
paiN Academy,499,11905
ex-TALON,493,13212
MIBR Academy,493,3044
Chinggis Warriors,489,12646
NYX,489,13397
Timewaves,488,13543
Keyd Stars,486,6033
ECLOT,482,7441
anything else,480,13206
EXSAD,456,13047
Falcons Force,452,13321
Memeories,428,13534
GLORE,407,11988
ex-Inner Circle,407,13459
HereWeGoAgain,406,13629
MAGICOS,403,13265
MAGICOS,398,13265
MIGHT,397,12483
Charrados,390,13519
Arrival Seven,387,13353
ELITES,345,13624
