matchid,date,score,sideid,mapid,teamid
2388917,2026-01-22,2.0,0,0,11581
2388917,2026-01-22,0.0,0,0,10278
2388917,2026-01-22,9.0,1,2,11581
2388917,2026-01-22,3.0,2,2,10278
2388917,2026-01-22,4.0,2,2,11581
2388917,2026-01-22,3.0,1,2,10278
2388917,2026-01-22,13.0,0,2,11581
2388917,2026-01-22,6.0,0,2,10278
2388917,2026-01-22,11.0,2,4,11581
2388917,2026-01-22,1.0,1,4,10278
2388917,2026-01-22,2.0,1,4,11581
2388917,2026-01-22,0.0,2,4,10278
2388917,2026-01-22,13.0,0,4,11581
2388917,2026-01-22,1.0,0,4,10278
2389275,2026-01-22,0.0,0,0,5973
2389275,2026-01-22,2.0,0,0,11283
2389275,2026-01-22,6.0,2,5,5973
2389275,2026-01-22,6.0,1,5,11283
2389275,2026-01-22,6.0,1,5,5973
2389275,2026-01-22,6.0,2,5,11283
2389275,2026-01-22,14.0,0,5,5973
2389275,2026-01-22,16.0,0,5,11283
2389275,2026-01-22,3.0,1,4,5973
2389275,2026-01-22,9.0,2,4,11283
2389275,2026-01-22,5.0,2,4,5973
2389275,2026-01-22,4.0,1,4,11283
2389275,2026-01-22,8.0,0,4,5973
2389275,2026-01-22,13.0,0,4,11283
2388930,2026-01-21,2.0,0,0,9996
2388930,2026-01-21,0.0,0,0,8113
2388930,2026-01-21,9.0,2,2,9996
2388930,2026-01-21,3.0,1,2,8113
2388930,2026-01-21,4.0,1,2,9996
2388930,2026-01-21,1.0,2,2,8113
2388930,2026-01-21,13.0,0,2,9996
2388930,2026-01-21,4.0,0,2,8113
2388930,2026-01-21,7.0,1,5,9996
2388930,2026-01-21,5.0,2,5,8113
2388930,2026-01-21,5.0,2,5,9996
2388930,2026-01-21,7.0,1,5,8113
2388930,2026-01-21,16.0,0,5,9996
2388930,2026-01-21,12.0,0,5,8113
2388906,2026-01-21,0.0,0,0,13404
2388906,2026-01-21,2.0,0,0,11581
2388906,2026-01-21,9.0,2,1,13404
2388906,2026-01-21,3.0,1,1,11581
2388906,2026-01-21,3.0,1,1,13404
2388906,2026-01-21,9.0,2,1,11581
2388906,2026-01-21,12.0,0,1,13404
2388906,2026-01-21,16.0,0,1,11581
2388906,2026-01-21,5.0,2,3,13404
2388906,2026-01-21,7.0,1,3,11581
2388906,2026-01-21,6.0,1,3,13404
2388906,2026-01-21,6.0,2,3,11581
2388906,2026-01-21,11.0,0,3,13404
2388906,2026-01-21,13.0,0,3,11581
2388927,2026-01-21,2.0,0,0,7176
2388927,2026-01-21,0.0,0,0,8113
2388927,2026-01-21,8.0,2,5,7176
2388927,2026-01-21,4.0,1,5,8113
2388927,2026-01-21,5.0,1,5,7176
2388927,2026-01-21,0.0,2,5,8113
2388927,2026-01-21,13.0,0,5,7176
2388927,2026-01-21,4.0,0,5,8113
2388927,2026-01-21,3.0,1,7,7176
2388927,2026-01-21,9.0,2,7,8113
2388927,2026-01-21,9.0,2,7,7176
2388927,2026-01-21,3.0,1,7,8113
2388927,2026-01-21,19.0,0,7,7176
2388927,2026-01-21,17.0,0,7,8113
2389114,2026-01-21,0.0,0,0,13237
2389114,2026-01-21,2.0,0,0,13501
2389114,2026-01-21,1.0,2,2,13237
2389114,2026-01-21,11.0,1,2,13501
2389114,2026-01-21,10.0,1,2,13237
2389114,2026-01-21,2.0,2,2,13501
2389114,2026-01-21,11.0,0,2,13237
2389114,2026-01-21,13.0,0,2,13501
2389114,2026-01-21,5.0,1,5,13237
2389114,2026-01-21,7.0,2,5,13501
2389114,2026-01-21,6.0,2,5,13237
2389114,2026-01-21,6.0,1,5,13501
2389114,2026-01-21,11.0,0,5,13237
2389114,2026-01-21,13.0,0,5,13501
2388908,2026-01-21,2.0,0,0,13027
2388908,2026-01-21,1.0,0,0,10333
2388908,2026-01-21,8.0,2,3,13027
2388908,2026-01-21,4.0,1,3,10333
2388908,2026-01-21,5.0,1,3,13027
2388908,2026-01-21,5.0,2,3,10333
2388908,2026-01-21,13.0,0,3,13027
2388908,2026-01-21,9.0,0,3,10333
2388908,2026-01-21,5.0,1,6,13027
2388908,2026-01-21,7.0,2,6,10333
2388908,2026-01-21,6.0,2,6,13027
2388908,2026-01-21,6.0,1,6,10333
2388908,2026-01-21,11.0,0,6,13027
2388908,2026-01-21,13.0,0,6,10333
2388908,2026-01-21,9.0,1,1,13027
2388908,2026-01-21,3.0,2,1,10333
2388908,2026-01-21,4.0,2,1,13027
2388908,2026-01-21,0.0,1,1,10333
2388908,2026-01-21,13.0,0,1,13027
2388908,2026-01-21,3.0,0,1,10333
2388903,2026-01-21,2.0,0,0,11737
2388903,2026-01-21,1.0,0,0,13355
2388903,2026-01-21,7.0,1,3,11737
2388903,2026-01-21,5.0,2,3,13355
2388903,2026-01-21,3.0,2,3,11737
2388903,2026-01-21,8.0,1,3,13355
2388903,2026-01-21,10.0,0,3,11737
2388903,2026-01-21,13.0,0,3,13355
2388903,2026-01-21,7.0,1,1,11737
2388903,2026-01-21,5.0,2,1,13355
2388903,2026-01-21,6.0,2,1,11737
2388903,2026-01-21,5.0,1,1,13355
2388903,2026-01-21,13.0,0,1,11737
2388903,2026-01-21,10.0,0,1,13355
2388903,2026-01-21,8.0,2,7,11737
2388903,2026-01-21,4.0,1,7,13355
2388903,2026-01-21,4.0,1,7,11737
2388903,2026-01-21,8.0,2,7,13355
2388903,2026-01-21,22.0,0,7,11737
2388903,2026-01-21,18.0,0,7,13355
2388928,2026-01-21,2.0,0,0,12144
2388928,2026-01-21,0.0,0,0,11768
2388928,2026-01-21,9.0,1,4,12144
2388928,2026-01-21,3.0,2,4,11768
2388928,2026-01-21,4.0,2,4,12144
2388928,2026-01-21,7.0,1,4,11768
2388928,2026-01-21,13.0,0,4,12144
2388928,2026-01-21,10.0,0,4,11768
2388928,2026-01-21,5.0,2,3,12144
2388928,2026-01-21,7.0,1,3,11768
2388928,2026-01-21,8.0,1,3,12144
2388928,2026-01-21,3.0,2,3,11768
2388928,2026-01-21,13.0,0,3,12144
2388928,2026-01-21,10.0,0,3,11768
2388901,2026-01-21,2.0,0,0,12394
2388901,2026-01-21,1.0,0,0,11609
2388901,2026-01-21,7.0,1,3,12394
2388901,2026-01-21,5.0,2,3,11609
2388901,2026-01-21,4.0,2,3,12394
2388901,2026-01-21,8.0,1,3,11609
2388901,2026-01-21,11.0,0,3,12394
2388901,2026-01-21,13.0,0,3,11609
2388901,2026-01-21,3.0,2,5,12394
2388901,2026-01-21,9.0,1,5,11609
2388901,2026-01-21,9.0,1,5,12394
2388901,2026-01-21,3.0,2,5,11609
2388901,2026-01-21,22.0,0,5,12394
2388901,2026-01-21,19.0,0,5,11609
2388901,2026-01-21,8.0,2,4,12394
2388901,2026-01-21,4.0,1,4,11609
2388901,2026-01-21,5.0,1,4,12394
2388901,2026-01-21,7.0,2,4,11609
2388901,2026-01-21,13.0,0,4,12394
2388901,2026-01-21,11.0,0,4,11609
2388907,2026-01-21,0.0,0,0,12895
2388907,2026-01-21,2.0,0,0,13286
2388907,2026-01-21,3.0,2,5,12895
2388907,2026-01-21,9.0,1,5,13286
2388907,2026-01-21,4.0,1,5,12895
2388907,2026-01-21,4.0,2,5,13286
2388907,2026-01-21,7.0,0,5,12895
2388907,2026-01-21,13.0,0,5,13286
2388907,2026-01-21,2.0,1,6,12895
2388907,2026-01-21,10.0,2,6,13286
2388907,2026-01-21,0.0,2,6,12895
2388907,2026-01-21,3.0,1,6,13286
2388907,2026-01-21,2.0,0,6,12895
2388907,2026-01-21,13.0,0,6,13286
2388898,2026-01-21,2.0,0,0,10278
2388898,2026-01-21,1.0,0,0,12895
2388898,2026-01-21,7.0,1,3,10278
2388898,2026-01-21,5.0,2,3,12895
2388898,2026-01-21,5.0,2,3,10278
2388898,2026-01-21,7.0,1,3,12895
2388898,2026-01-21,12.0,0,3,10278
2388898,2026-01-21,16.0,0,3,12895
2388898,2026-01-21,12.0,1,2,10278
2388898,2026-01-21,0.0,2,2,12895
2388898,2026-01-21,1.0,2,2,10278
2388898,2026-01-21,0.0,1,2,12895
2388898,2026-01-21,13.0,0,2,10278
2388898,2026-01-21,0.0,0,2,12895
2388898,2026-01-21,7.0,2,4,10278
2388898,2026-01-21,5.0,1,4,12895
2388898,2026-01-21,6.0,1,4,10278
2388898,2026-01-21,1.0,2,4,12895
2388898,2026-01-21,13.0,0,4,10278
2388898,2026-01-21,6.0,0,4,12895
2388899,2026-01-21,2.0,0,0,11581
2388899,2026-01-21,1.0,0,0,10333
2388899,2026-01-21,3.0,1,6,11581
2388899,2026-01-21,9.0,2,6,10333
2388899,2026-01-21,7.0,2,6,11581
2388899,2026-01-21,4.0,1,6,10333
2388899,2026-01-21,10.0,0,6,11581
2388899,2026-01-21,13.0,0,6,10333
2388899,2026-01-21,8.0,2,2,11581
2388899,2026-01-21,4.0,1,2,10333
2388899,2026-01-21,4.0,1,2,11581
2388899,2026-01-21,8.0,2,2,10333
2388899,2026-01-21,16.0,0,2,11581
2388899,2026-01-21,14.0,0,2,10333
2388899,2026-01-21,7.0,1,3,11581
2388899,2026-01-21,5.0,2,3,10333
2388899,2026-01-21,6.0,2,3,11581
2388899,2026-01-21,0.0,1,3,10333
2388899,2026-01-21,13.0,0,3,11581
2388899,2026-01-21,5.0,0,3,10333
2388900,2026-01-21,1.0,0,0,13027
2388900,2026-01-21,2.0,0,0,13404
2388900,2026-01-21,6.0,2,3,13027
2388900,2026-01-21,6.0,1,3,13404
2388900,2026-01-21,7.0,1,3,13027
2388900,2026-01-21,4.0,2,3,13404
2388900,2026-01-21,13.0,0,3,13027
2388900,2026-01-21,10.0,0,3,13404
2388900,2026-01-21,6.0,1,5,13027
2388900,2026-01-21,6.0,2,5,13404
2388900,2026-01-21,3.0,2,5,13027
2388900,2026-01-21,7.0,1,5,13404
2388900,2026-01-21,9.0,0,5,13027
2388900,2026-01-21,13.0,0,5,13404
2388900,2026-01-21,4.0,2,7,13027
2388900,2026-01-21,8.0,1,7,13404
2388900,2026-01-21,8.0,1,7,13027
2388900,2026-01-21,4.0,2,7,13404
2388900,2026-01-21,15.0,0,7,13027
2388900,2026-01-21,19.0,0,7,13404
2389111,2026-01-21,0.0,0,0,13355
2389111,2026-01-21,2.0,0,0,10459
2389111,2026-01-21,6.0,2,3,13355
2389111,2026-01-21,6.0,1,3,10459
2389111,2026-01-21,4.0,1,3,13355
2389111,2026-01-21,7.0,2,3,10459
2389111,2026-01-21,10.0,0,3,13355
2389111,2026-01-21,13.0,0,3,10459
2389111,2026-01-21,1.0,1,4,13355
2389111,2026-01-21,11.0,2,4,10459
2389111,2026-01-21,3.0,2,4,13355
2389111,2026-01-21,2.0,1,4,10459
2389111,2026-01-21,4.0,0,4,13355
2389111,2026-01-21,13.0,0,4,10459
2389110,2026-01-20,2.0,0,0,10621
2389110,2026-01-20,0.0,0,0,11609
2389110,2026-01-20,5.0,1,7,10621
2389110,2026-01-20,7.0,2,7,11609
2389110,2026-01-20,7.0,2,7,10621
2389110,2026-01-20,5.0,1,7,11609
2389110,2026-01-20,22.0,0,7,10621
2389110,2026-01-20,20.0,0,7,11609
2389110,2026-01-20,10.0,1,2,10621
2389110,2026-01-20,2.0,2,2,11609
2389110,2026-01-20,3.0,2,2,10621
2389110,2026-01-20,2.0,1,2,11609
2389110,2026-01-20,13.0,0,2,10621
2389110,2026-01-20,4.0,0,2,11609
2389108,2026-01-20,2.0,0,0,12818
2389108,2026-01-20,0.0,0,0,13173
2389108,2026-01-20,7.0,1,1,12818
2389108,2026-01-20,5.0,2,1,13173
2389108,2026-01-20,5.0,2,1,12818
2389108,2026-01-20,7.0,1,1,13173
2389108,2026-01-20,16.0,0,1,12818
2389108,2026-01-20,13.0,0,1,13173
2389108,2026-01-20,7.0,1,5,12818
2389108,2026-01-20,5.0,2,5,13173
2389108,2026-01-20,6.0,2,5,12818
2389108,2026-01-20,4.0,1,5,13173
2389108,2026-01-20,13.0,0,5,12818
2389108,2026-01-20,9.0,0,5,13173
2389279,2026-01-24,1.0,0,0,9565
2389279,2026-01-24,2.0,0,0,11283
2389279,2026-01-24,5.0,2,7,9565
2389279,2026-01-24,7.0,1,7,11283
2389279,2026-01-24,5.0,1,7,9565
2389279,2026-01-24,6.0,2,7,11283
2389279,2026-01-24,10.0,0,7,9565
2389279,2026-01-24,13.0,0,7,11283
2389279,2026-01-24,9.0,2,1,9565
2389279,2026-01-24,3.0,1,1,11283
2389279,2026-01-24,4.0,1,1,9565
2389279,2026-01-24,1.0,2,1,11283
2389279,2026-01-24,13.0,0,1,9565
2389279,2026-01-24,4.0,0,1,11283
2389279,2026-01-24,1.0,2,6,9565
2389279,2026-01-24,11.0,1,6,11283
2389279,2026-01-24,5.0,1,6,9565
2389279,2026-01-24,2.0,2,6,11283
2389279,2026-01-24,6.0,0,6,9565
2389279,2026-01-24,13.0,0,6,11283
2389278,2026-01-23,2.0,0,0,12467
2389278,2026-01-23,1.0,0,0,7020
2389278,2026-01-23,4.0,2,2,12467
2389278,2026-01-23,8.0,1,2,7020
2389278,2026-01-23,1.0,1,2,12467
2389278,2026-01-23,5.0,2,2,7020
2389278,2026-01-23,5.0,0,2,12467
2389278,2026-01-23,13.0,0,2,7020
2389278,2026-01-23,6.0,2,6,12467
2389278,2026-01-23,6.0,1,6,7020
2389278,2026-01-23,7.0,1,6,12467
2389278,2026-01-23,3.0,2,6,7020
2389278,2026-01-23,13.0,0,6,12467
2389278,2026-01-23,9.0,0,6,7020
2389278,2026-01-23,7.0,2,3,12467
2389278,2026-01-23,5.0,1,3,7020
2389278,2026-01-23,6.0,1,3,12467
2389278,2026-01-23,3.0,2,3,7020
2389278,2026-01-23,13.0,0,3,12467
2389278,2026-01-23,8.0,0,3,7020
2389277,2026-01-23,0.0,0,0,9928
2389277,2026-01-23,2.0,0,0,9565
2389277,2026-01-23,6.0,2,7,9928
2389277,2026-01-23,6.0,1,7,9565
2389277,2026-01-23,3.0,1,7,9928
2389277,2026-01-23,7.0,2,7,9565
2389277,2026-01-23,9.0,0,7,9928
2389277,2026-01-23,13.0,0,7,9565
2389277,2026-01-23,7.0,1,4,9928
2389277,2026-01-23,5.0,2,4,9565
2389277,2026-01-23,4.0,2,4,9928
2389277,2026-01-23,8.0,1,4,9565
2389277,2026-01-23,11.0,0,4,9928
2389277,2026-01-23,13.0,0,4,9565
2389124,2026-01-24,1.0,0,0,13470
2389124,2026-01-24,2.0,0,0,12818
2389124,2026-01-24,1.0,1,7,13470
2389124,2026-01-24,11.0,2,7,12818
2389124,2026-01-24,1.0,2,7,13470
2389124,2026-01-24,2.0,1,7,12818
2389124,2026-01-24,2.0,0,7,13470
2389124,2026-01-24,13.0,0,7,12818
2389124,2026-01-24,9.0,2,5,13470
2389124,2026-01-24,3.0,1,5,12818
2389124,2026-01-24,4.0,1,5,13470
2389124,2026-01-24,0.0,2,5,12818
2389124,2026-01-24,13.0,0,5,13470
2389124,2026-01-24,3.0,0,5,12818
2389124,2026-01-24,10.0,1,4,13470
2389124,2026-01-24,2.0,2,4,12818
2389124,2026-01-24,2.0,2,4,13470
2389124,2026-01-24,10.0,1,4,12818
2389124,2026-01-24,13.0,0,4,13470
2389124,2026-01-24,16.0,0,4,12818
2389606,2026-01-24,2.0,0,0,12474
2389606,2026-01-24,0.0,0,0,11641
2389606,2026-01-24,7.0,1,5,12474
2389606,2026-01-24,5.0,2,5,11641
2389606,2026-01-24,5.0,2,5,12474
2389606,2026-01-24,7.0,1,5,11641
2389606,2026-01-24,19.0,0,5,12474
2389606,2026-01-24,17.0,0,5,11641
2389606,2026-01-24,9.0,2,3,12474
2389606,2026-01-24,3.0,1,3,11641
2389606,2026-01-24,4.0,1,3,12474
2389606,2026-01-24,1.0,2,3,11641
2389606,2026-01-24,13.0,0,3,12474
2389606,2026-01-24,4.0,0,3,11641
2389448,2026-01-24,2.0,0,0,11571
2389448,2026-01-24,1.0,0,0,8113
2389448,2026-01-24,2.0,2,7,11571
2389448,2026-01-24,10.0,1,7,8113
2389448,2026-01-24,1.0,1,7,11571
2389448,2026-01-24,3.0,2,7,8113
2389448,2026-01-24,3.0,0,7,11571
2389448,2026-01-24,13.0,0,7,8113
2389448,2026-01-24,6.0,1,5,11571
2389448,2026-01-24,6.0,2,5,8113
2389448,2026-01-24,7.0,2,5,11571
2389448,2026-01-24,4.0,1,5,8113
2389448,2026-01-24,13.0,0,5,11571
2389448,2026-01-24,10.0,0,5,8113
2389448,2026-01-24,9.0,1,3,11571
2389448,2026-01-24,3.0,2,3,8113
2389448,2026-01-24,3.0,2,3,11571
2389448,2026-01-24,9.0,1,3,8113
2389448,2026-01-24,16.0,0,3,11571
2389448,2026-01-24,14.0,0,3,8113
2389196,2026-01-24,2.0,0,0,11609
2389196,2026-01-24,0.0,0,0,10459
2389196,2026-01-24,5.0,2,1,11609
2389196,2026-01-24,7.0,1,1,10459
2389196,2026-01-24,8.0,1,1,11609
2389196,2026-01-24,2.0,2,1,10459
