fantasyid,teamid,playerid,team,player,cost,avg_rating,n_games,avg_rating_vs_G2,avg_rating_vs_Aurora,avg_rating_vs_Liquid,avg_rating_vs_3DMAX,avg_rating_vs_Astralis,avg_rating_vs_paiN,avg_rating_vs_Passion UA,avg_rating_vs_B8,avg_rating_vs_PARIVISION,avg_rating_vs_Legacy,avg_rating_vs_GamerLegion,avg_rating_vs_HEROIC,avg_rating_vs_FUT,avg_rating_vs_Ninjas in Pyjamas,avg_rating_vs_NRG,avg_rating_vs_BC.Game
591,5995,3972,G2,hunter,198,0.910,8,,,,1.170,,1.280,1.040,,,,,,,,,
591,5995,11617,G2,malbsmd,217,1.000,9,,,,1.190,,1.430,1.140,,,,,,,,,
591,5995,19164,G2,sunpayus,218,1.087,9,,,,0.870,,1.560,1.260,,,,,,,,,
591,5995,20447,G2,heavygod,228,1.133,9,,,,1.450,,0.780,1.560,,,,,,,,,
591,5995,21062,G2,matys,220,1.097,9,,,,1.340,,1.540,1.410,,,,,,,,,
591,11861,150,Aurora,maj3r,190,0.938,13,,,0.940,,0.740,,,0.820,0.810,0.890,1.455,1.120,,,,
591,11861,7938,Aurora,xantares,226,1.195,13,,,1.290,,1.130,,,1.200,0.960,1.360,1.495,0.880,,,,
591,11861,8574,Aurora,woxic,209,1.117,13,,,0.910,,1.135,,,1.390,1.180,0.840,1.145,0.720,,,,
591,11861,20968,Aurora,soulfly,203,1.086,28,,,,,,,,,,,1.040,,,,,
591,11861,21243,Aurora,wicadia,221,1.268,13,,,1.400,,1.115,,,1.320,0.870,1.100,1.230,0.960,,,,
591,5973,19899,Liquid,krimbo,215,,0,,,,,,,,,,,,,,,,
591,5973,8738,Liquid,elige,212,1.047,15,,0.790,,,1.130,,1.070,1.370,0.740,,,,,1.420,,
591,5973,9436,Liquid,nertz,210,1.033,15,,1.240,,,1.160,,0.870,0.920,0.870,,,,,1.090,,
591,5973,16820,Liquid,siuhy,192,0.897,15,,0.920,,,1.120,,0.980,0.800,0.400,,,,,0.920,,
591,5973,21763,Liquid,ultimate,205,0.947,15,,0.860,,,1.540,,0.800,0.460,0.510,,,,,0.790,,
591,4914,8374,3DMAX,bodyy,210,1.148,15,0.780,,,,0.610,1.800,1.760,1.035,1.200,,,,,1.230,,
591,4914,13138,3DMAX,maka,215,1.040,15,0.690,,,,0.820,0.960,1.600,1.110,1.120,,,,,1.700,,
591,4914,13497,3DMAX,lucky,204,0.999,15,0.880,,,,0.820,0.910,1.490,1.000,0.950,,,,,1.060,,
591,4914,19739,3DMAX,ex3rcice,207,0.962,15,1.040,,,,1.330,0.470,1.380,1.110,1.190,,,,,1.120,,
591,4914,21969,3DMAX,graviti,205,0.953,15,0.940,,,,0.610,0.620,1.340,0.795,1.220,,,,,1.410,,
591,6665,10096,Astralis,hooxi,188,0.970,15,,1.205,0.790,1.340,,,,,0.640,0.680,,,,0.740,,
591,6665,16726,Astralis,phzy,206,1.016,10,,,,,,,,,0.530,,,,,,,
591,6665,17956,Astralis,jabbi,197,1.034,15,,1.075,1.000,1.120,,,,,0.750,0.880,,,,0.980,,
591,6665,20304,Astralis,staehr,205,1.098,15,,1.110,1.050,1.240,,,,,0.980,0.910,,,,1.170,,
591,6665,21217,Astralis,ryu,208,1.175,17,,,,,,,,,0.750,,,,1.010,,,
591,4773,16816,paiN,vsm,196,1.103,11,,,,,,,,,,,,0.910,,,,
591,4773,18141,paiN,biguzera,198,1.103,16,0.770,,,1.590,,,1.360,1.285,,0.730,1.020,0.760,,,,
591,4773,18714,paiN,piriajr,216,1.354,14,,,,,,,,,,,,1.050,,,,
591,4773,19694,paiN,nqz,197,1.033,16,1.190,,,0.900,,,1.270,1.135,,1.130,1.130,0.880,,,,
591,4773,20171,paiN,snow,195,1.010,16,0.640,,,0.950,,,1.150,0.920,,1.010,1.240,1.120,,,,
591,12426,11630,Passion UA,jt,199,1.042,19,1.110,,1.380,0.750,,0.850,,,,,1.070,,0.700,,,
591,12426,12840,Passion UA,hallzerk,197,0.941,19,0.390,,0.980,0.510,,0.650,,,,,0.830,,1.170,,,
591,12426,13578,Passion UA,grim,207,1.034,19,0.830,,0.900,0.660,,1.010,,,,,0.800,,0.850,,,
591,12426,21452,Passion UA,kvem,207,1.077,19,1.330,,1.420,0.600,,0.550,,,,,1.010,,0.770,,,
591,12426,21620,Passion UA,nicx,195,1.056,19,0.950,,1.090,0.890,,0.940,,,,,1.210,,1.170,,,
591,11241,20112,B8,alex666,190,0.964,17,,0.960,1.310,0.975,,0.975,,,0.890,0.935,,,,,,
591,11241,21708,B8,npl,208,1.082,17,,0.990,1.300,1.220,,0.805,,,1.080,1.245,,,,,,
591,11241,22842,B8,kensizor,205,1.098,17,,0.980,1.390,1.245,,1.240,,,1.360,1.300,,,,,,
591,11241,23643,B8,esenthial,195,1.052,17,,1.120,1.110,1.135,,1.055,,,1.540,0.995,,,,,,
591,11241,25805,B8,segukawa,190,,0,,,,,,,,,,,,,,,,
591,12467,13776,PARIVISION,jame,197,1.043,19,,0.920,0.850,0.930,1.090,,,1.170,,1.100,1.150,,,0.990,,0.920
591,12467,19235,PARIVISION,belchonokk,190,0.995,19,,1.130,1.660,0.790,1.080,,,0.760,,1.130,1.140,,,0.930,,1.500
591,12467,22471,PARIVISION,xielo,207,1.218,19,,1.490,1.700,1.030,1.300,,,1.110,,0.880,1.130,,,1.020,,1.280
591,12467,22929,PARIVISION,nota,205,1.188,19,,0.820,2.580,1.030,1.420,,,1.030,,1.120,1.140,,,1.670,,1.520
591,12467,23685,PARIVISION,zweih,216,1.082,17,,,0.770,,1.920,1.460,,,,,,1.060,,,,
591,12468,15698,Legacy,dumau,198,1.171,16,,1.020,,,1.220,1.290,,1.000,0.970,,,,,,,
591,12468,19045,Legacy,latto,205,1.231,16,,1.100,,,1.080,1.050,,0.960,1.420,,,,,,,
591,12468,19686,Legacy,n1ssim,191,1.048,16,,1.070,,,1.370,1.290,,1.005,1.060,,,,,,,
591,12468,20563,Legacy,lux,183,1.034,16,,1.110,,,1.280,1.090,,0.930,0.610,,,,,,,
591,12468,22965,Legacy,saadzin,194,1.153,16,,0.910,,,1.200,0.950,,0.925,1.060,,,,,,,
591,9928,2553,GamerLegion,snax,175,0.895,6,,0.960,,,,,0.980,,,,,,,,0.860,
591,9928,9278,GamerLegion,rez,197,1.106,17,,0.800,,,,1.190,1.140,,0.950,,,1.070,,,0.950,
591,9928,20301,GamerLegion,tauson,201,1.067,17,,0.815,,,,1.020,1.070,,0.770,,,1.020,,,0.890,
591,9928,22279,GamerLegion,pr,204,1.187,14,,0.980,,,,0.970,1.030,,1.060,,,1.590,,,,
591,9928,23766,GamerLegion,hypex,184,0.966,17,,0.850,,,,0.900,1.090,,0.920,,,0.890,,,0.740,
591,7175,19187,HEROIC,xfl0ud,195,1.181,12,,1.340,,,,1.020,,,,,1.040,,,,,
591,7175,20119,HEROIC,nilo,192,1.176,12,,1.370,,,,1.480,,,,,1.260,,,,,
591,7175,21163,HEROIC,susp,194,1.000,3,,,,,,1.240,,,,,,,,,,
591,7175,21983,HEROIC,chr1zn,178,0.993,3,,,,,,0.970,,,,,,,,,,
591,7175,23600,HEROIC,alkaren,191,1.122,9,,1.150,,,,,,,,,1.020,,,,,
591,13286,20584,FUT,dem0n,189,1.196,23,,,,,,,0.830,,,,,,,,,
591,13286,20761,FUT,launx,187,1.160,23,,,,,,,1.120,,,,,,,,,
591,13286,22203,FUT,krabeni,182,1.116,23,,,,,,,1.250,,,,,,,,,
591,13286,22674,FUT,cmtry,180,1.087,23,,,,,,,1.680,,,,,,,,,
591,13286,23553,FUT,dziugss,194,1.269,23,,,,,,,1.230,,,,,,,,,
591,4411,922,Ninjas in Pyjamas,snappi,170,1.021,16,,,0.990,0.600,0.920,,,,0.850,,,,,,0.740,
591,4411,14148,Ninjas in Pyjamas,sjuush,181,1.166,16,,,0.880,0.900,1.290,,,,1.200,,,,,,0.630,
591,4411,20425,Ninjas in Pyjamas,r1nkle,182,1.154,16,,,1.120,1.030,1.140,,,,1.220,,,,,,0.930,
591,4411,23372,Ninjas in Pyjamas,xkacpersky,194,1.284,16,,,1.100,0.930,1.510,,,,0.800,,,,,,1.010,
591,4411,24283,Ninjas in Pyjamas,cairne,195,1.277,11,,,0.970,,,,,,,,,,1.090,,,
591,6673,7687,NRG,nitr0,173,1.015,13,,,,,,,,,,,1.110,,,,,
591,6673,8711,NRG,sonic,184,1.148,18,,,,,,,,,,,1.110,,,1.470,,
591,6673,13249,NRG,osee,188,1.128,8,,,,,,,,,,,1.030,,,,,
591,6673,16717,NRG,br0,183,1.180,18,,,,,,,,,,,1.140,,,1.410,,
591,6673,20333,NRG,jeorge,178,1.099,18,,,,,,,,,,,1.590,,,1.340,,
591,12878,630,BC.Game,mutiris,178,1.032,18,,0.980,1.240,,,,,,,0.730,0.835,,,0.955,0.820,
591,12878,7998,BC.Game,s1mple,195,1.105,10,,,,,,,,,1.030,,,,,,,
591,12878,8918,BC.Game,electronic,180,1.081,10,,,,,,,,,0.960,,,,,,,
591,12878,22807,BC.Game,aragornn,186,1.096,18,,1.060,1.160,,,,,,,1.080,1.295,,,0.845,1.170,
591,12878,23140,BC.Game,krazy,180,1.010,18,,0.910,0.970,,,,,,,0.810,0.840,,,1.100,0.910,
